name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_00,0.0,0.0,263.75,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_01,-500.0,3400.0,263.75,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_02,500.0,-2000.0,263.75,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_03,-1110.0,-3620.0,263.75,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_04,1040.0,-3040.0,263.75,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_05,-510.0,-2390.0,263.75,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_06,-1040.0,-1150.0,263.75,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_07,1280.0,1210.0,263.75,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_08,190.0,2280.0,263.75,0.0,1000.0,1000.0,1000.0,50.0,250.0
BE_Stage_09,-1100.0,1570.0,263.75,0.0,1000.0,1000.0,1000.0,50.0,250.0
